"y_var","x_var","term","method","estimate","lower_ci","upper_ci"
"obese_bmi","race","(Intercept)","GLM",0.385070214339478,0.366026318629968,0.404951653524296
"obese_bmi","race","raceBlack","GLM",1.21785570407092,1.12861473536077,1.31408583884989
"obese_bmi","race","raceAsian","GLM",0.258742444012324,0.224315270993979,0.297244504559337
"obese_bmi","race","raceHispanic","GLM",1.00568216805427,0.932605209132655,1.08439378351388
"obese_wc","race","(Intercept)","GLM",0.815891472868286,0.779563616394686,0.853852351363983
"obese_wc","race","raceBlack","GLM",0.844625046610383,0.787038845349717,0.906356472536201
"obese_wc","race","raceAsian","GLM",0.289740607150554,0.260368443480414,0.321932212974776
"obese_wc","race","raceHispanic","GLM",0.792933395442685,0.740295943565628,0.849249703978302
"obese_dxa","race","(Intercept)","GLM",0.526911076443167,0.493197581268726,0.562676338017807
"obese_dxa","race","raceBlack","GLM",0.825708610778619,0.743728529440618,0.916414124660774
"obese_dxa","race","raceAsian","GLM",0.66448772902813,0.583342009318692,0.755887863920813
"obese_dxa","race","raceHispanic","GLM",1.25787960683719,1.14399050491641,1.38317955852421
"obese_bmi","sex","(Intercept)","GLM",0.308808290156063,0.295673749970883,0.322419707953738
"obese_bmi","sex","sexFemale","GLM",1.35688429907009,1.27923512201687,1.43935797780487
"obese_wc","sex","(Intercept)","GLM",0.402986916811294,0.386896268091371,0.419648332878163
"obese_wc","sex","sexFemale","GLM",2.31052072001293,2.18778089825087,2.4404455417428
"obese_dxa","sex","(Intercept)","GLM",0.572677322677336,0.543957244742968,0.602769682145921
"obese_dxa","sex","sexFemale","GLM",0.805187198048407,0.747272591719935,0.867523528486359
"obese_bmi","age","(Intercept)","GLM",0.076334936490661,0.0702760084122064,0.0827576885479188
"obese_bmi","age","age20_39","GLM",7.30332945544872,6.60688047637715,8.08245111946398
"obese_bmi","age","age40_59","GLM",9.31745448440872,8.43530706545543,10.3043644982147
"obese_bmi","age","age60+","GLM",8.18644534456658,7.40406883213312,9.06199333539788
"obese_wc","age","(Intercept)","GLM",0.0968958150056407,0.0899224546493173,0.104253195026857
"obese_wc","age","age20_39","GLM",8.58261058612515,7.82224693784616,9.42544438931872
"obese_wc","age","age40_59","GLM",15.0240568781669,13.6842759236746,16.5116840553696
"obese_wc","age","age60+","GLM",20.2818727486818,18.436738544845,22.3352716470568
"obese_dxa","age","(Intercept)","GLM",0.368241320433618,0.345394376445056,0.392353753682911
"obese_dxa","age","age20_39","GLM",1.36106920995986,1.24005231819643,1.49392818596009
"obese_dxa","age","age40_59","GLM",2.10342816869821,1.92194424310889,2.30256559690334
"obese_bmi","smoke","(Intercept)","GLM",0.167144221585515,0.149024923550987,0.186895158302323
"obese_bmi","smoke","smokePast","GLM",4.30409513309086,3.76936704122206,4.92506424957985
"obese_bmi","smoke","smokeSmoker","GLM",3.1662627345847,2.76347996572428,3.63461748981715
"obese_wc","smoke","(Intercept)","GLM",0.223223223223214,0.201217323990469,0.247083106118915
"obese_wc","smoke","smokePast","GLM",7.21269865095497,6.36715309655869,8.18385685069576
"obese_wc","smoke","smokeSmoker","GLM",4.56225186370047,4.02428925330219,5.17981001017884
"obese_dxa","smoke","(Intercept)","GLM",0.334788029926153,0.303373766360178,0.368868590311668
"obese_dxa","smoke","smokePast","GLM",2.07806805390732,1.7887773728768,2.41469351573218
"obese_dxa","smoke","smokeSmoker","GLM",1.68840124235394,1.47056987295479,1.93917561969862
"obese_bmi","edu","(Intercept)","GLM",0.620273109243711,0.576715315622405,0.66684563186536
"obese_bmi","edu","eduHighSchool","GLM",1.1679993605299,1.05537117583345,1.29275138857347
"obese_bmi","edu","eduSomeCollege","GLM",1.19679688814708,1.08965519637251,1.314705331366
"obese_bmi","edu","eduCollegePlus","GLM",0.673051470286911,0.607310108362611,0.745792899588598
"obese_wc","edu","(Intercept)","GLM",1.42531446540886,1.32690520623926,1.53148295529054
"obese_wc","edu","eduHighSchool","GLM",1.09646391072629,0.990769972006297,1.21347913257128
"obese_wc","edu","eduSomeCollege","GLM",1.14655699860986,1.04377015835123,1.25940026685406
"obese_wc","edu","eduCollegePlus","GLM",0.641791071767623,0.582032091241424,0.707549606918903
"obese_dxa","edu","(Intercept)","GLM",0.566929133858298,0.507943845700945,0.632066975128935
"obese_dxa","edu","eduHighSchool","GLM",1.2347222222222,1.0662726194859,1.43029521507545
"obese_dxa","edu","eduSomeCollege","GLM",1.20008317858246,1.04754955985194,1.37559789875347
"obese_dxa","edu","eduCollegePlus","GLM",0.899338527717024,0.78013564321891,1.03704633127093
"obese_bmi","income","(Intercept)","GLM",0.389198036007419,0.371128715714993,0.408012668121584
"obese_bmi","income","income35k_75k","GLM",1.0199929698216,0.948373417470741,1.09689689677669
"obese_bmi","income","income75k+","GLM",0.712154377319825,0.652929487477708,0.776289385671401
"obese_wc","income","(Intercept)","GLM",0.692859992022289,0.663483404688623,0.723455227383833
"obese_wc","income","income35k_75k","GLM",1.00044656480147,0.935965093359322,1.06932565464968
"obese_wc","income","income75k+","GLM",0.693652676812257,0.64212716152603,0.749095419869553
"obese_dxa","income","(Intercept)","GLM",0.537362637362658,0.504222148531972,0.572449715401133
"obese_dxa","income","income35k_75k","GLM",1.04033514800634,0.946685736383911,1.14317061472322
"obese_dxa","income","income75k+","GLM",0.785981009523268,0.707046130837227,0.873316534866307
